post_id,one_comment_id,author,content,time,ip
1,10,"和颜悦色_moon
",没错啊，韩国的辣白菜现在是从中国进口的啊，哪儿错了[doge],25-10-15,来自北京
2,1,变形拆家,胡说，美国哪有人情世故[doge],25-10-15,来自广东
2,2,"Alex_肉
",那能一样嘛双标太好用了[挖鼻],25-10-15,来自广东
2,3,"w你说是不是
",全球到处捞钱[挖鼻],25-10-15,来自湖南
2,4,XL_WZ,工作葬礼，工作追悼会,25-10-15,来自广西
2,5,"BunnyLike
",要不，打个报告，为纪念查理吃顿烤鸭？真是滋滋冒油啊[doge],25-10-15,来自北京
2,1,,,,
2,2,,,,
2,3,,,,
2,4,,,,
2,5,,,,
2,6,,[泪],,
2,7,bladeyun,用sora 2去跑小电影不就好了（,25-10-15,来自上海
2,8,苦涩-Krmilk,这种借口听起来像律师教的,25-10-15,来自广东
2,9,"托尔达尼安
",看看图片,25-10-15,来自江苏
2,10,woshithy,从哪弄这么多？,25-10-15,来自山东
2,11,"diGitalcUt
",还是存自己家里硬盘塔吧，安全。[二哈],25-10-15,来自北京
1,0,辰风81 ：傻了吧唧的懂王,,今天16:48,无
1,0,火山石R ：手真长,,今天14:57,无
1,0,峡谷挖掘机ck ：米来,不行美国多买点阿根廷大豆呗,今天12:36,无
1,0,物换星移L ：米莱心想，不满你憋着，我可不会傻傻的和白花花的银子过不去,,今天12:44,无
2,0,普曰川 ：先罚策划者一个人把垃圾清理干净！,,48分钟前,无
1,0,很想一路向前 ：亲验属实,,10月14日 22:06,无
1,0,较瘦叫兽回忆录 ：靠！原来这四个字能发出来啊。,,10月14日 20:34,无
1,0,清风四两六分 ：哈哈哈,,10月14日 19:23,无
1,0,A-GEE光仔 ：哈哈哈,,10月14日 17:20,无
1,0,常用男子名 ：说斯丢皮德应该会没事,,10月14日 17:14,无
1,0,"-琴心剑胆
：//@很想一路向前",亲验属实,今天08:56,无
1,0,晨明暮晚 ：,,59分钟前,无
3,1,魔法师-李,看来还得斗争一会儿。不知道是不是拖到石破来接待川普[无聊],25-10-15,来自广东
1,0,伦敦路的虎先锋 ：假新闻制造者 活成了他最讨厌的模样,,今天15:41,无
1,0,"-琴心剑胆
：转发微博",,今天11:47,无
1,0,mememe无限 ：满嘴跑火车，就一精神病。,,今天11:45,无
2,1,"江山昆仑远
",都以为人家和他一样是特么的啥比吗[二哈],25-10-15,来自四川
2,2,"兽医专治爱丁堡慕洋狗
",再有钱的人跟军队花费比起来都是九牛一毛,25-10-15,来自江苏
2,3,"需_仁
",喊老马来吧,25-10-15,来自广东
2,4,"欢乐谷的兔子
",私人武装？[哈哈],25-10-15,来自北京
2,5,"二手太阳照在我身上
",可以用炒股的钱[doge],25-10-15,来自上海
2,6,"宇宙s真理
",不是马万三吧,25-10-15,来自陕西
2,7,"高维矢量
",养家丁,25-10-15,来自北京
2,8,"昨夜东风苦瓜叶
",沈万三？[笑cry],25-10-15,来自浙江
2,9,"jimrose888
",许科长[doge],25-10-15,来自江苏
2,10,"金j家的酱油
",川普到底知不知道什么是国家啊？[震惊],25-10-15,来自江西
2,11,"M麦子Q
",是他那个炒股赚了一大票的儿子么？,25-10-15,来自上海
2,12,"睡觉觉的小程序酱
",@不肯穿秋裤的小熊猫酱,25-10-15,来自新加坡
2,13,"一騎當千_You
",“升舱的钱我来出”[偷乐],25-10-15,来自上海
2,14,"风过江南63007
",地方团练武装？,25-10-15,来自四川
2,15,飞哥369V,@ 中国烟民,25-10-15,来自河南
2,16,"执影
",……老美人真能忍啊……,25-10-15,来自四川
2,17,天台去不还,沈万三？,25-10-15,来自北京
2,18,"好喝到咩咩噗噗崂山白花蛇草水
",王多鱼：这个项目我投了[doge],25-10-15,来自重庆
2,19,"湾区杨树
",沈万三？？？,25-10-15,来自广东
2,20,"剥瓜子小能手
",有没有冤大头先不说，你美军费已经开始靠募捐了嘛？[柯基],25-10-15,来自福建
2,21,"居中守正雷大王
",哪个犹太人要养美军？,25-10-15,来自广东
2,22,薔薇之頰,我觉得大统领在撒这番谎的时候根本不知道美国军饷一个月要多少,25-10-15,来自浙江
3,0,"东禾w
：日韩突然反华，可能是由于历史问题、地缘政治利益或意识形态差异。但应通过对话和合作解决问题，而非对抗。",,今天14:52,无
3,0,反诈阿森 ：分析的透彻,,今天15:24,无
3,0,反诈阿森 ：精彩绝伦演讲！,,今天15:24,无
3,0,反诈先锋阿森 ：自己强大才可以,,今天15:20,无
3,0,反诈先锋阿森 ：这两个和美国关系好,,今天15:20,无
3,0,"大公公橘猫Mike
：来看友友视频",,今天16:01,无
3,0,"大公公橘猫Mike
：反华势力太可恶",,今天16:00,无
3,0,"朝夕的日记
：赞同以对话代替对抗，合作才是共赢之道",,今天15:33,无
3,0,"一休backed-3
：回归基督的传统信仰",,今天14:40,无
4,0,6878521900ksny ：以畜丧尽天良，罪恶滔天 死有余辜！,,今天15:56,无
4,0,玫瑰刺Rosethorn ：苦难的加沙😖,,今天16:00,无
4,0,枣庄笑笑笙 ：转发微博,,今天16:03,无
4,0,小领导和老员工 ：阿克萨洪水的威力,,今天19:15,无
4,0,"a文天使
：支持来了",,今天14:25,无
4,0,"a文天使
：世界和平",,今天14:25,无
4,0,反诈阿森 ：珍惜当下，远离战争,,今天15:25,无
4,0,反诈阿森 ：愿世界和平,,今天15:25,无
4,0,"鸩羽毒舞
：愿世界和平",,今天13:37,无
4,0,"东禾w
：阿富汗和巴基斯坦之间的冲突再次点燃了全球的关注，军事爱好者们期待着这场史诗般的战斗。",,今天13:28,无
1,1,吾心静处恣徜徉,……,25-10-14,来自阿联酋
1,2,銀河熱望_,没这么小,25-10-14,来自山东
1,3,帝都历史爱好者,是这样了,25-10-14,来自北京
1,4,发际线总指挥,原来是这种感觉,25-10-14,来自广西
1,5,purpleblacksmoke,是这样的 太形象了,25-10-14,来自四川
1,6,花荚姐姐,可怜,25-10-14,来自安徽
1,7,废话精-江直树,反手一刀刺死,25-10-14,来自四川
1,8,_辛德瑞拉_,这选让我想起来前一阵走红毯的一个造型[黑线],25-10-14,来自山东
1,9,大白牛奶,真实，的确是这样的,25-10-14,来自广东
1,10,琳耶耶y,推荐中医！！！但请务必找真正的中医   这个不行吃几个月没效果就换下一个 我吃过四个人的中药了 后两个才管用 我目前还没好 但是能感觉出来脑子正常的时候多了 西药见效快 会让人情绪上很舒服 但我实在受不了那些副作用[苦涩],25-10-14,来自山东
1,11,躺赢小能手丶,@Capybara丶丶 ！！就是这个感觉！,25-10-14,来自河南
5,1,"7號-仔
",穿西装讲相声[无聊],25-10-15,来自广东
5,2,"广州superben
",战争与和品，靠打才会赢,25-10-15,来自广东
5,3,"今日吃瓜记录
",希望美利坚在自爆之前完成好拉北约一起炸的任务,25-10-15,来自山东
5,4,"网络巡视反馈
",北约负责记账收钱，军火由北约按协商好的方案分配，也就是说，北约是二道贩子,25-10-15,来自江苏
5,5,"江山沐白峰衣雪
",美国什么时候退出的北约？！[震惊],25-10-15,来自北京
5,6,"用户7966711564
",北约打了三年半，也没打败俄罗斯，没什么好吹的，英国法国巡航影身导弹最近效果听不到了，打俄罗斯纵深也没听到消息,25-10-15,来自江苏
5,7,"古文份
",北约：你们给了就是我给了,25-10-15,来自意大利
5,8,"看门叔
",没有稀土美国军工产能还能有出口吗一根筋多头堵啊[doge],25-10-15,来自福建
5,1,enenmu00,建立巴勒斯坦国是客观存在的事实，不是由侵略方以色列承认决定的,25-10-15,来自广东
1,0,"法国漂
：图片评论 评论配图",,今天10:00,无
1,0,"远离巫医药
：意大利反法西斯游击队可是二战中唯一能绞死三大轴心国纳粹元凶的抵抗力量；这次环保少女船队唱的《啊，朋友再见》原本就是意大利游击队的歌。",,今天13:53,无
1,0,利兹11_11_01 ：在欧盟内部游行不行，得去北美大陆,,今天11:14,无
1,0,ICIQID卡通通给我mima ：主要是欢乐，还能搞搞零元购,,今天10:28,无
1,0,白猫映雪 ：这些JC就不能摆几张桌子招募一下勇者给加沙人送一下物资吗？,,今天10:20,无
1,1,今天荒野之息续篇有新情报了吗,这不是把敖德萨送人吗[允悲],25-10-15,来自德国
1,2,acdc许愿异彩,这不反水易帜吗,25-10-15,来自上海
1,3,BOLUODE船飞,看见这个期货死人就很烦,25-10-15,来自湖北
1,4,"赛博-钓鱼佬
",泽连斯基是不是新三国看多了？这么像吕布那段剧情[二哈],25-10-15,来自四川
2,0,"亿周视野
：以善的名义作恶。喊最漂亮的口号干最邪恶的坏事。这就是美西方极端政治正确脑残垃圾畜生丛林社会的日常。根源还是它们唯一排他弱肉强食损人利己你死我活的畜生丛林法则核心价值观作祟。这是它们文明层面上没有进化好的最典型特征和最直接因果，也是它们过去和现在的万恶之源。",,今天11:29,无
2,0,futuresclassic ：第一次看到大炮挂墙上的,,今天19:30,无
2,0,天空D颜色 ：疯了,,今天14:44,无
1,1,"目光一样透明27993
",绿营变民团[允悲],25-10-15,来自江苏
1,2,吃蟹群众,鱿鱼是有资助军头的传统。克伦威尔拿到钱还杀了查理一世，然后宣布几百年的驱鱿令结束。[微笑],25-10-15,来自浙江
1,3,"清河欧尼
",找个民主党的资本家,25-10-15,来自河北
1,4,无此帐号_BK,吃大帅的饭，穿大帅的衣[二哈],25-10-15,来自北京
1,5,"懒羊羊有心愿
",我去找个大户放放血。慷慨啊，好比说“我觉得她人很好，她肯定想把诺贝尔奖让给我”,25-10-15,来自广东
1,6,"加点辣子香怦怦
",家丁,25-10-15,来自山东
1,7,"众心之心
",沈万三？,25-10-15,来自江苏
1,8,"湖蓝色的眼睛2005
",这位绅士是犹太人吗？[吃瓜],25-10-15,来自安徽
1,9,"会游泳的大秤砣
",美国这是要军阀化呀，喜见进入“北洋时代”[哈哈],25-10-15,来自广西
1,10,"空仓多
",纵兵纽约，大掠七日，这才是美军正常的发饷方式,25-10-15,来自广东
1,11,"看这世界到处漂
",那可不行啊，这变成私人军队了,25-10-15,来自广东
1,12,"懒猪猪有懒福
",牛逼,25-10-15,来自江苏
1,13,本初亦有高光时,伟大的绅士：钱我出，不过利息多多少少还是要收的[二哈],25-10-15,来自广东
1,14,"YEASHMAX
",老马，赚了那么多钱，该放点血了哈[笑cry],25-10-15,来自四川
1,15,"皮皮虾打篮球呀
",让他儿子、女婿出啊！[右哼哼],25-10-15,来自上海
2,0,leonlai520 ：就佩服韩国做周边的能力,,今天12:56,无
2,0,相言居士 ：버터링好吃,,今天14:30,无
2,0,鸣鸣_KR ：@seoully,,今天12:59,无
2,0,T相信D ：别说 还真别说 挺可爱的,,今天12:14,无
2,0,"涉地可支莓莓日记
：咋办我第一反应是有3c认证吗..",,今天17:06,无
3,0,台湾都是大青蛙 ：这话要是别人说的，应该已经因为辱犹被抓了吧？,,今天17:26,无
1,0,枣庄笑笑笙 ：悲惨世界😞,,今天10:40,无
1,0,玫瑰刺Rosethorn ：,,今天10:46,无
1,0,天马行空一Ll ：他们喜欢这种生活，原来的生活太无味了，这样吃了睡醒了吃，多好。,,今天18:25,无
1,0,子午路肉夹馍三号 ：乞丐又在集中乞讨了,,今天18:10,无
3,1,,,,
3,2,,,,
3,3,,,,
3,4,释放的心好情,当年1934年和1971不搞死整个美国啊，他必 付出代价。,25-10-15,来自湖南
3,5,释放的心好情,这个 仇，我一直记着,25-10-15,来自湖南
3,6,他是谁10025,疯疯普真是天真无邪呀，战争发起者希望对方友好，这是你死我活的战争，懂吗？不是游戏！,25-10-15,来自四川
3,7,"蜜斯特旺
",老特也想让🇺🇸自力更生 ，但是。。。,25-10-15,来自江苏
3,8,"你领悟一下我什么意思吧
",这下了解了,25-10-15,来自山东
3,9,"炁jkl
",了解了,25-10-15,来自北京
3,10,"热苏打ying
",不买,25-10-15,来自浙江
3,11,"为了微博起个名字
",是吗？看来大豆如此重要啊,25-10-15,来自河北
3,12,"谁会00记得
",看不懂,25-10-15,来自山西
3,13,"物换星移L
",挺好的，你的基本盘，红脖子州的农户们估计高兴死,25-10-15,来自河南
3,14,"Lunestia1
",这难以理解，了解一下吧,25-10-15,来自河北
3,15,"嘻嘻哈哈---------
",[喵喵],25-10-15,来自内蒙古
3,16,虫虫鸟儿企业经营管理,那就把那些大豆都拿去做地沟油吧。这样既不用从我们这进口，又解决了大豆的出路，多好摊上这么个癫狂无知的废物当总统，美国也真是该有这一劫[允悲],25-10-15,来自上海
3,17,"冬之雪11851
",了解一下,25-10-15,来自河南
3,18,草木间L,有本事一粒不买，以印制的美元统购囤积它3~5年！特色还在否？朗星还在否？谱歌还在否？,25-10-15,来自山西
3,19,"最憨的鑫
",哈哈哈，了解了,25-10-15,来自山西
2,0,厚厚的云朵_常常叫carol ：这下好了，毫无波澜（波兰）,,今天13:25,无
2,0,mnzcy ：北极航线，意义重大～,,今天08:33,无
4,1,粉红玫瑰的微博,最准确的消息来自川普和白宫，其他慎用。,25-10-15,来自广东
4,2,Bodbottle3号,帮它们体面！,25-10-15,来自河北
4,3,用户7982479139,不在乎白左瞎嚷，使用决定性的武力消灭哈马斯是很轻松的事。,25-10-15,来自浙江
4,4,"热爱小丁
",那么屠杀的加沙平民怎么办,25-10-15,来自黑龙江
4,5,用户7982479139,没有人质护体，哈马斯的地道就是摆设，一直灌海水让哈鼠无路可走。[怒],25-10-15,来自浙江
4,1,,[阴险],,
4,2,,[吃瓜],,
5,1,"帮帮惨死的小剀剀宝贝
",以色列恐怖组织有很多汉奸间谍狗潜伏在中国。大家注意定时炸弹,25-10-14,来自广东
1,0,实在是取名无能 ：,,今天16:47,无
1,0,若雨的春风 ：,,今天13:08,无
1,0,润泽求是 ：人很好,,今天12:39,无
1,0,listh ：还是要注意身体。,,今天08:12,无
1,0,Fight2025 ：重情重义,,今天14:17,无
1,0,一枝独秀春意浓 ：是不是说本来还要去沙特的？,,今天10:19,无
1,0,辰风81 ：疯子会,,今天16:49,无
2,1,"远望21808
",必须灭绝哈马斯恐怖分子,25-10-15,来自河北
2,2,最新小溪,特朗普感觉憔悴了很多,25-10-15,来自日本
2,3,"用户1827712008
",总统先生，不要忘记，美国的4000海军陆战队队员还驻扎委内瑞拉旁边，已经两月有余,25-10-15,来自安徽
2,4,老刘逻辑3,这世界谁疯谁赢,25-10-15,来自上海
2,5,"五岁大一点
",靠嘴巴让哈马斯缴枪投降？川普不是说了，哈马斯那不是军队，是维持秩序的jc。,25-10-15,来自广西
2,6,"范彝銘
",今天又违反条约，挑起了冲突。,25-10-15,来自山西
2,7,寄情山水Michael,嘴炮第一,25-10-15,来自北京
2,8,"杨少平195707
",一语中的，掷地有声。,25-10-15,来自广东
2,9,"不信人间有恶魔
",就喜欢懂王这个说话方式，有实力有智慧。。。,25-10-15,来自海南
2,10,"琴师D018
",如果真能解除哈马斯武装的话，我真心给川普点赞希望不再是嘴炮[赞],25-10-15,来自广东
2,11,"ROSEMEAD2277
",[赞],25-10-15,来自上海
2,12,"盲流儿-超生游击队
",嘴大吃八方…[笑而不语],25-10-15,来自北京
2,13,"教授老头
",转发微博,25-10-15,来自江苏
2,1,木生火燊燊,时移世易，我们国家到了如今体量，有些利益在和美国发生重合。比如美国骂欧洲非关税壁垒、产业政策等，骂印度的市场准入壁垒、数字治理、知识产权等，其实我们面对欧洲印度，也面临差不多的问题。如果中美能合力施压欧印就好了，但两方都需要改变思维。,25-10-14,来自北京
2,2,家庭盟主,这是要加码了？看来收拾印度的性价比比较高[二哈],25-10-15,来自北京
2,3,金陵大喵,印度这么大的市场，农产品必须对美国开放！,25-10-14,来自江苏
2,4,福田齐耕2,要吸硬度血了,25-10-14,来自上海
2,5,同缘1015,川普担心印度变第二个中国，站在他的角度，早点扼杀是对的[吃瓜],25-10-14,来自北京
3,1,"喜欢装B无下限
",空不了多长时间[允悲],25-10-15,来自山东
3,2,"波斯猫_bosimao
",养他们，实际上还挺费钱的。[笑cry],25-10-15,来自天津
3,3,"laozhang0009
",养这些狗日的干嘛？不直接干掉就是为了交换俘虏吗？莫名其妙![吐],25-10-14,来自河南
3,1,,[开学季],,
3,2,"奇奥2025顺顺利利
",抓住任何机会抬高自己贬损他人（国）,25-10-15,来自广东
3,3,"尥蹶子的木马
",还不如吹，此天命所在，非人力可及[doge],25-10-15,来自上海
3,4,"呒得闲
",技能点都加闪避了，难道牢川是个刺客？,25-10-15,来自安徽
3,5,"影片开始了
",就是个自恋狂，顶级的！,25-10-15,来自北京
3,6,"Rainbow_彩虹小子
",能这么说吗[哆啦A梦害怕],25-10-15,来自上海
3,7,"柯瓦多罗
",怨只怨查理他学艺不精啊[笑cry],25-10-15,来自北京
3,8,"踩单车漂移
",地球都是万税爷吹胀的,25-10-15,来自广东
3,9,"不太深情的小粽子
",祸从口出[doge],25-10-15,来自广东
3,10,"你信仰的缺失让我感到担忧
",bro以为自己是Neo,25-10-15,来自中国
3,11,"Lumivox
",咋能一样吗[允悲],25-10-15,来自黑龙江
3,12,"EtherealFiona
",话别说太早[开学季],25-10-15,来自北京
3,13,"降噪人生
",下次我就用两只手指夹住弹头给你们看[666],25-10-15,来自广东
3,14,"平静上班族h
","灵敏度不共享,太baby了老特",25-10-15,来自广东
3,15,"红头发的黑猫赤瞳
",他还挺骄傲，好像那人死了是因为不如他聪明似的,25-10-15,来自北京
3,16,Lawrenceglow,查理·柯克修为不够,25-10-15,来自上海
3,17,"龍亢之象
",柯克不够优秀，不能像我那样躲掉子弹，所以柯克活该[笑cry],25-10-15,来自浙江
3,18,"CHeNG_9527
",摇头晃脑·JPG,25-10-15,来自广东
4,1,,,,
4,2,,[doge],,
4,3,Ajxnksnxnz,直接全宇宙吧，全球不符合身份[doge],25-10-14,来自新疆
4,4,zrzdmrgs,这玩意真的算内循环,25-10-14,来自北京
4,5,"妙赏之眼
",经典的自以为是，关税最终也是美国消费者自己承受罢了。,25-10-14,来自广东
4,6,"adrianolove1999
",拿诺贝尔数学奖，东子看了点赞[doge],25-10-14,来自湖南
4,7,"蓝脸的窦尔墩-
",把国家改成家庭,25-10-14,来自北京
4,8,"Gemi霓
",到底是谁富有了呢,25-10-14,来自重庆
4,9,"jack_j11
",一卡脖子就翻白眼，一松手就吹牛逼,25-10-14,来自北京
4,10,"萌萌兰兰酱
",支持特朗普竞选明年的奥斯卡金像奖[good],25-10-14,来自山东
4,11,"Luckyrainboww
",美畜老狗脸都不要,25-10-14,来自新西兰
4,12,"塞外冬颜
",活在理想状态下的懂！,25-10-14,来自江苏
4,13,"喜欢玩莫甘娜和露露LOL
",250的钞票必须有这个人的照片,25-10-14,来自重庆
4,14,"蓝胖月月
",ＴＭ特朗普倒是赚的盆满钵满[摊手],25-10-14,来自吉林
4,15,"披萨安得辣舞
",[费解],25-10-14,来自上海
4,16,"梅不傲寒
",懂王富了就等于美国富了，MAGA，赢[二哈],25-10-14,来自山东
4,17,"岛主WD
",欠的债不还吗,25-10-14,来自上海
4,18,"Bibu不是Bubi
",今年的奥斯卡还是颁早了,25-10-14,来自广东
4,19,FAVOR-LIU,到处耍流氓,25-10-14,来自辽宁
4,20,"永久消耗
",多好的老头哇！处处为美国人民着想。,25-10-14,来自河北
1,1,乔乔w2,😆😆,25-10-15,来自四川
1,2,"HIRO爱发呆
",主角是哈士奇就不觉得奇怪了[偷笑],25-10-15,来自吉林
1,3,"黄妹妹的猪
",合乎粥礼[doge],25-10-15,来自广东
1,1,,,,
1,2,,[打call],,
1,3,,,,
1,4,,,,
1,5,,,,
1,6,诚品天涯,邪恶唯恐星火可以燎原，故踩灭天下所有火石[揣手],25-10-15,来自安徽
1,7,长安一片瓦白泽,一帮大葱命在这开会呢？,25-10-15,来自北京
1,8,阳光沙滩白浪,这个组织在以色列的政策下是铲除不了的，它的存在正是以色列的政策培养的，野火烧不尽，春风吹又生,25-10-15,来自英国
1,9,Dr蔡是帅哥,拿钱洗地的东西，对于萝莉岛的沉默更显得没人性,25-10-15,来自广东
6,1,"星星leo_
",吹气球🎈,25-10-15,来自重庆
6,2,"131313aaa11
",经典太监进窑子炫富，银子再多卵子能长回来吗,25-10-15,来自天津
6,3,东北金渐层一般兵,北约这货是荷兰前首相，这货张嘴闭嘴北约军事力量如何。看出来荷兰最近明抢中资公司的底气在哪儿了吧,25-10-15,来自北京
6,4,"柏麒的光影
",吕特的嘴只剩下自嗨了,25-10-15,来自广东
6,5,"用户7966711564
",连F16都提供了，你北约已参战了，也没打赢，就不要往自己脸上贴金,25-10-15,来自江苏
6,6,"叶小小羲0_4
",不自量力,25-10-15,来自江苏
6,7,木星上的野狗,给自己打气，我们行的，呵呵，呵呵呵，哈哈。,25-10-15,来自江苏
6,8,"行走的Guevara
",[笑cry],25-10-15,来自湖北
6,9,"dbsc353
",荷兰人真狂妄[怒],25-10-15,来自中国香港
6,10,"jrkeyes
",北约好强，加油干翻毛子[捂嘴哭],25-10-15,来自吉林
7,0,"镜子里的财经
：共和党也好，保守党也好，从来没有真正和种族主义脱钩。",,今天02:31,无
7,0,"朵朵的葵花
：黄川粉看过来，了解一下白右的真相。",,今天05:02,无
7,0,用户8009055265 ：先把🇺🇸华川粉送进去吧，他们愿意,,今天08:57,无
1,0,辰风81 ：,,今天16:50,无
8,1,,,,
8,2,,,,
8,3,"水中小跑
",哎,25-10-15,来自湖北
8,4,"Any_DB
",10万。。。。太可怕了,25-10-15,来自浙江
8,5,"面壁执剑一老朽
",杀！杀！杀！,25-10-15,来自四川
8,6,瘦不下来先生,出境打击做过了，效果一般就不再考虑了。,25-10-15,来自广西
8,7,"春風一笑桃花開
",這是在給駐軍吹風？,25-10-15,来自中国台湾
8,8,"石头备用四号机
",感觉近段时间管不了这里，无奈啊,25-10-15,来自山东
8,9,克什米尔火鸡大赛,轰炸根本就除不了根[允悲],25-10-15,来自广东
8,10,海雯娜的亲爹,直接给马斯克施压算了，让他星链屏蔽掉这个地区,25-10-15,来自广东
8,11,澄bagdrdqsba123,泰国一直在帮助这些电炸,25-10-15,来自广东
8,12,timefreeze,装个干扰器,25-10-15,来自浙江
8,13,夏之晚风-,上无人机,25-10-15,来自广东
