"快乐的小帆003
",大美刷题王：跳过，换题,25-10-13,来自江苏
"天蓬元帅的帅74839
",太好玩了,25-10-13,来自贵州
"以梦做马走天涯
",奶龙：这题不会，换出题老师[怒],25-10-13,来自广东
"非典型巨狮座
",：不要问我不喜欢的问题，假新闻[无聊],25-10-13,来自中国澳门
"帅气砂糖橘在唱歌
",川皇：哪来的闲杂人？拖出去！,25-10-13,来自陕西
"无聊且无聊的网友
",伯恩斯？,25-10-13,来自四川
"北纬二十七度865
",politico不是专门报道国会和白宫的华盛顿本地网站吗？这也不准问问题了？[疑问],25-10-13,来自贵州
,,,
昵称根本没办法取,😂能认识吗？我不能认识啊。。这题太难了，我只能转移话题了，沈逸刚的微博说我们都不跟他们谈了，这下怎么办好？,25-10-13,来自广西
"晴天桜花
",超纲，过,25-10-13,来自广东
"蓝胖月月
",[允悲],25-10-13,来自吉林
"在客厅吹蜡烛的翠鸟
",哪壶不开提哪壶，所以是假新闻[笑cry],25-10-13,来自新疆
author,content,time,ip
小河弯弯19,转发微博,25-10-13,来自浙江
带翅膀的鸡蛋,无人机在哪来？还玩这种没人玩的游戏！,25-10-13,来自广西
铁血五毛,怎么感觉回到了林海雪原的年代…,25-10-13,来自上海
用户6128862041,体力好，能跑非常非常重要。,25-10-13,来自北京
他山之石可以开瓢,开阔地带的轻步兵无异于插标卖首,25-10-13,来自河南
Jacy爱笑爱生活,为啥不放出无人炸？？全炸了不好吗？[允悲],25-10-13,来自上海
秦川飞,老巴没有无人机？不然呢就扔几十个手雷，,25-10-13,来自广东
威盐王子,老巴不是买了很多咱们的无人机吗？,25-10-13,来自广东
返鄉下種蕃薯,古代人的戰場？,25-10-13,来自中国香港
青草19680518,太原始[费解],25-10-13,来自北京
用户7495112706,哦,25-10-13,来自重庆
sheoheardes,塔利班连像样的空军和防空体系都没有，真放手打巴基斯坦能把它打出翔来。估计就是对美国想从新进去阿富汗而它们有点心猿意马就打击巴塔来警告阿塔。阿塔不和恐怖分子做彻底切割竟然想和三哥合作，这脑子是进水了吗。。。[嘻嘻],25-10-13,来自江苏
玫瑰刺Rosethorn,转发微博,25-10-13,来自浙江
上人上人乆乆大大大大多果多果,无人机时代，搞这种行动不过是找死[哪吒使坏],25-10-13,来自河南
乌杂专卖店,人肉冲锋啊[笑而不语],25-10-13,来自山东
阿oyzwhn,漂亮,25-10-13,来自广东
author,content,time,ip
"草莓霹雳酱
",好恶心啊[淡淡的],25-10-13,来自上海
Yestorrow_,牠們都把自己當路邊的公狗母狗在交配，完全等老闆的無奈[微笑],25-10-13,来自中国台湾
咖啡因太多太清醒,还有在cafe里我和朋友选了个角落 旁边也算是角落的地方坐着一对情侣 可能觉得我和我朋友在聊天不会关注到他们 在那里啃来啃去 那时候冬天啊室内脱了外套穿着毛衣那种吧 男的开始手往女生衣服里钻啊翻啊 我这边都能看到女生白花花的腰啊 他们亲得旁若无人仿佛洞房啊 再用力点压上去的话就直接躺那儿了,25-10-13,来自韩国
"AgynessChan
",真的离谱 发情就开房去,25-10-13,来自上海
"我也很想乐观地接受
",揉搓😨😨😨😨😨😨😨,25-10-13,来自广东
肥橘阿,大学里也是，荷尔蒙爆发期最严重的时候吧，湖边，草地，饭堂等等,25-10-13,来自广西
咖啡因太多太清醒,哈哈我还在地铁里见到过一对情侣 男的站在有座位的女生面前 女生伸手就直接往男的衣服里摸 然后女生头还靠在男的腰腹一块 然后再懒洋洋把头往下挪 还蹭来蹭去 手就往下摸 从衣服里摸到骨盆 我就坐着看手机而已啊喂视线余光被迫看到他们我还以为我在看片呢啊喂,25-10-13,来自韩国
"HappyHappyCLARE
",@SecondSogs,25-10-13,来自韩国
"XzqsgX
",拿相機拍吧 那麼享受户外[二哈],25-10-13,来自韩国
"草莓巧可
",地铁里也是，能不能不要亲嘴儿[汗],25-10-13,来自广东
"yebyoung
",能不能不要处处发情,25-10-13,来自澳大利亚
"小希我是小葵_毕业版
",这种是有露出癖吧[吃惊],25-10-13,来自云南
我是九星连猪,说实话 得看亲密到什么程度 互相喂食什么的还好，我曾经看到一个女生直接坐在男生身上亲亲秘密的我都无奈了，隔壁又不是没安排座位有必要这样么！,25-10-13,来自黑龙江
author,content,time,ip
,[无聊],,
,[允悲],,
,[doge],,
"melody彩虹印记
",永生啊，还以为懂王挂了[允悲],25-10-13,来自湖北
"吃吃睡睡的闪光啦
",伊朗：？？？,25-10-13,来自广东
"隔夜喵
",恍惚中记得居鲁士的结局好像………,25-10-13,来自山东
晓钟,妙啊！居鲁士大帝最后被中亚异族借了吃饭的家伙，阿川这是被诅咒啊。,25-10-13,来自云南
不记无花果,那懂王的结局会是被一个丧子的母亲所杀？[二哈],25-10-13,来自广东
用户7993743185,最新消息，东大拒绝就最近虚空造牌的100%关税进行谈判,25-10-13,来自山东
张睿-happy,伊朗：呸！,25-10-13,来自福建
天元突破尼亚,[无聊],25-10-13,来自贵州
"月影幽竹007
",伊朗人怎么看[允悲],25-10-13,来自辽宁
"云夕熊先生
",明拍暗损，损川子是波斯非法移民[doge],25-10-13,来自江苏
"这个樱桃派好吃死了
",必须爆小马打一波啦！[doge],25-10-13,来自陕西
"本来不吃素
",不会…又是…伪史吧？,25-10-13,来自辽宁
"爱老婆的善良的牛
",一个被斯基泰人砍了脑袋的古人做对比，这真是欺负懂王啥都不懂啊，其心可诛[二哈],25-10-13,来自上海
"没错我就是你的黑粉你还怕不还怕
",居鲁士拿过诺贝尔和平奖吗？我怀疑老胡再讽刺特朗普[怒],25-10-13,来自北京
"梦半自飘零0812
",第一波斯,25-10-13,来自上海
"用户7870774696
",让我想想，居鲁士的结局是啥样的,25-10-13,来自上海
author,content,time,ip
,[哈哈],,
"煎茶园园长
",老特从那时开始黑化[允悲],25-10-13,来自安徽
"白色猪脚
",奶龙真的是恨死奥黑了，那么会蛐蛐人,25-10-13,来自广西
"乖哈词
",确实是这样德行，看后面他们怎么办[笑cry],25-10-13,来自安徽
"上城CityNest
",垃圾川普,25-10-13,来自上海
"鲁小胖0025
",奥巴马过于轻浮了……,25-10-13,来自广东
菓菓寳寳,没记错的话，白宫记者晚宴结束后，奥巴马就去战情室督战击毙本拉登。,25-10-13,来自江苏
"芷蘭茹蕙
",差不多就是奥巴马激化了川普的个人斗志，才终于让美版戈尔巴乔夫横空出世！,25-10-13,来自广东
"月影幽竹007
",所以他恨民主党比恨中国更多些[doge],25-10-13,来自辽宁
"广州superben
",奥黑人黑心更黑，手段下三滥[怒],25-10-13,来自广东
"宜峰wind
",老特记仇[二哈],25-10-13,来自湖南
"虎猴马
",特朗普的人生值得一部美剧,25-10-13,来自上海
NightingalePledge,黑驴想笑就笑吧,25-10-13,来自广东
"卡酷娇嫩
",名场面，奥黑一生的后悔。,25-10-13,来自广东
用户6075592771,我突然有点理解川普了[哈哈],25-10-13,来自四川
"云夕熊先生
",那一年我带着全部身家来当舔狗，还被黑皮白人当众侮辱嘲笑，现在我带着百万MAGA卷土从来！[哼],25-10-13,来自江苏
熏师傅爱小美,君子报仇，十年不晚。[怒],25-10-13,来自湖北
用户7975637264,真的是风水轮流转,25-10-13,来自河北
author,content,time,ip
"_大国公民_
",没10亿刀我不来没20亿刀我不走[doge],25-10-13,来自湖北
"蚂蚁波耳
",库什纳在中东包括巴勒斯坦地盘上有不少生意,25-10-13,来自上海
用户7646301426,[doge],25-10-13,来自黑龙江
"清枫羽然201312
",所以那些说川普和伊万卡闹翻了的，从哪看出来的？[doge],25-10-13,来自安徽
余古冶,摆上台面多伟光正啊,25-10-13,来自安徽
"乖哈词
",这样下去那些赔的倾家荡产的真不会暗杀这一家子吗？[笑cry],25-10-13,来自安徽
"卡普里岛一只虫
",一家子顶级吸血鬼,25-10-13,来自江苏
"rrrrrrrrrrkkkkkkkk
",美国人是真的温顺，LGBTQ和安提法也是fw,25-10-13,来自湖南
"蓝娇15啦
",拜登任上都卖过一次爹了。现在还热络嘛[柯基],25-10-13,来自四川
"煎茶园园长
",小儿子都要捞个董事席位，不捞不傻瓜[喵喵],25-10-13,来自安徽
"Rockbunnytoo
",四川火锅太辣了，扛不住了[哆啦A梦害怕],25-10-13,来自四川
"mkkkno1菜
",此处应该@后沙月光本尊,25-10-13,来自重庆
"厨房92
",半个加沙,25-10-13,来自广东
author,content,time,ip
江子昶飞 ：一切顺利,,今天14:59,无
爱美丽狂想曲20240618 ：,,今天15:10,无
欢乐灯火阑珊处 ：安全抵达,,今天16:35,无
孙博文2015 ：川皇威武,,今天15:05,无
我在山上遥望着你 ：,,今天19:28,无
author,content,time,ip
秦岭雪景 ：对恐怖分子不能轻易放过,,59分钟前,无
时间开始了_aaa ：历史会铭记这两位，法克喝甁奖。,,今天19:28,无
author,content,time,ip
,,,
,[点赞],,
,,,
"南方的幽默发
",鬼片风格[黑线],25-10-13,来自上海
"撸猫鼠Jerry
",这大肠癌这么精神也就山上彻也压得住[点赞],25-10-13,来自辽宁
化繁为简622,核废水喝多了，发生了变异,25-10-13,来自北京
"喜欢玩莫甘娜和露露LOL
",那是个什么？螺丝钉？向日葵？植物大战僵尸里面的豌豆？,25-10-13,来自重庆
"lonely冰美式
",需要这么多👀吗,25-10-13,来自广东
"鲁格鸡腿
",还以为早结束了[无聊],25-10-13,来自四川
"高詧Cha
",无人在意[无聊],25-10-13,来自江西
"疾风剑客Striker
",这个舞蹈团挺出名的,25-10-13,来自广西
"这个需求很简单
",太抽象了,25-10-13,来自上海
"没有蛀牙的精神小伙
",跳的不错，挺可爱的,25-10-13,来自四川
"乖哈词
",什么东西啊[费解],25-10-13,来自安徽
"望见白鹿
",群魔乱舞[二哈],25-10-13,来自陕西
"赛博-钓鱼佬
",包姐，快去看【【IGN】PC版《释放阿凡达》实机预告-哔哩哔哩】 网页链接[二哈],25-10-13,来自四川
"每天都要开心呀123456
",这么快结束了？楼建完了吗？,25-10-13,来自上海
"直拍乒乓_
",这什么格式化舞[笑cry],25-10-13,来自湖北
"YOU-Around
",长得诡异...跳起来更诡异了，像是病毒和免疫系统对抗[裂开],25-10-13,来自天津
author,content,time,ip
author,content,time,ip
author,content,time,ip
author,content,time,ip
春夏秋懂南西北 ：让人说话，天塌不下来,,52分钟前,无
"做个早睡的混蛋
：以色列的反对派？",,46分钟前,无
"KrisFish去看南京照相馆
：",,今天20:31,无
author,content,time,ip
梅里美-- ：高下立见,,44分钟前,无
